Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording008;1;1;1AH;YES;00:35,2;0.46;2.48;0;0;0;0;0;00:40,6;2;2;left offset;5.4;54.444
4;Recording012;1;1;1AH;YES;00:23,6;0.6;2.04;0.66;0.68;0.46;0;0;00:32,5;4;5;;8.9;49.888
5;Recording017;1;1;1AH;YES;00:22,5;0.54;2.62;0.38;0;0;0;0;00:28,3;3;3;;5.8;61.034
6;Recording032;1;1;1AH;YES;00:26,7;0.52;3.681;0.56;0.82;0;0;0;00:36,6;2;4;;9.9;56.374
7;Recording037;1;1;1AH;YES;00:29,0;1;1.32;0;0;0;0;0;00:34,9;2;2;quite a lot of offset;5.9;39.322
7;Recording034;1;1;1AH;YES;00:32,6;0.3;0.86;0.4;1.24;0;0;0;00:38,0;4;4;some offset, 2 and 3 together;5.4;51.852
8;Recording041;1;1;1AH;YES;00:22,7;0.824;0.66;1.24;0;0;0;0;00:27,5;3;3;;4.8;56.75
8;Recording038;1;1;1AH;YES;00:19,1;3.001;1.24;0;0;0;0;0;00:27,2;2;2;;8.1;52.358
9;Recording043;1;1;1AH;YES;00:29,5;1.88;0;0;0;0;0;0;00:32,7;1;1;;3.2;58.75
11;Recording049;1;1;1AH;YES;00:30,2;0.68;4.621;0.98;0.3;0;0;0;00:41,7;2;4;;11.5;57.226
12;Recording053;1;1;1AH;YES;00:21,4;0.28;0.26;2.3;0;0;0;0;00:28,2;3;3;;6.8;41.765
13;Recording058;1;1;1AH;YES;00:20,3;0.34;0.935;0.191;2.156;0.58;0;0;00:30,2;5;5;some offset, 3 and 4 together;9.9;42.444
13;Recording055;1;1;1AH;YES;00:22,1;2.78;0;0;0;0;0;0;00:26,7;1;1;;4.6;60.435
14;Recording063;1;1;1AH;YES;00:18,9;1.3;0.88;1.96;0;0;0;0;00:25,9;3;3;;7.0;59.143
14;Recording060;1;1;1AH;YES;00:17,1;0.78;2.32;0;0;0;0;0;00:22,5;2;2;;5.4;57.407
15;Recording067;1;1;1AH;YES;00:31,9;1.12;0;0;0;0;0;0;00:34,2;1;1;offset;2.3;48.696
16;Recording072;1;1;1AH;YES;00:14,3;3.061;2.18;0.4;0.56;0;0;0;00:24,5;2;4;2 and 3 together;10.2;60.794
16;Recording069;1;1;1AH;YES;00:21,0;4.421;0.24;0;0;0;0;0;00:27,5;1;2;;6.5;71.708
17;Recording075;1;1;1AH;YES;00:26,1;2.4;0;0;0;0;0;0;00:29,6;1;1;;3.5;68.571
18;Recording079;1;1;1AH;YES;00:18,9;0.76;1.22;0.8;0.28;1.14;0.36;0;00:30,6;3;6;4 and 5 together;11.7;38.974
20;Recording082;1;1;1AH;YES;00:24,8;0.9;0.18;0.24;0;0;0;0;00:28,1;3;3;;3.3;40.0
21;Recording088;1;1;1AH;YES;00:16,0;1.1;2;1.64;0;0;0;0;00:23,7;3;3;;7.7;61.558
21;Recording085;1;1;1AH;YES;00:26,5;0.82;0;0;0;0;0;0;00:28,6;1;1;;2.1;39.048
22;Recording092;1;1;1AH;YES;00:23,9;2.82;0;0;0;0;0;0;00:29,1;1;1;;5.2;54.231
22;Recording089;1;1;1AH;YES;00:30,9;0.54;1.66;0.28;0;0;0;0;00:37,3;2;3;;6.4;38.75
23;Recording094;1;1;1AH;YES;00:21,5;0.22;3.126;0;0;0;0;0;00:26,9;2;2;a lot of offset;5.4;61.963
24;Recording098;1;1;1AH;YES;00:33,3;0.38;2.52;0;0;0;0;0;00:40,1;1;1;;6.8;42.647
25;Recording103;1;1;1AH;YES;00:19,3;0.08;0.34;0.96;0.08;0;0;0;00:23,9;4;4;3 and 4 together;4.6;31.739
27;Recording108;1;1;1AH;YES;00:23,5;0.32;2.68;0.26;0;0;0;0;00:29,5;3;3;;6.0;54.333
27;Recording105;1;1;1AH;YES;00:36,9;1.16;0;0;0;0;0;0;00:39,9;1;1;;3.0;38.667
28;Recording112;1;1;1AH;YES;00:23,3;0.76;0.54;0;0;0;0;0;00:26,7;2;2;pretty bad quality;3.4;38.235
28;Recording109;1;1;1AH;YES;00:26,1;0.3;0;0;0;0;0;0;00:26,7;1;1;;0.6;50.0
29;Recording114;1;1;1AH;YES;00:29,2;1.36;2.74;0.46;0;0;0;0;00:36,9;3;3;;7.7;59.221
30;Recording118;1;1;1AH;YES;00:28,3;0.36;0.44;2.02;0.18;0.6;0.48;0;00:40,8;3;6;;12.5;32.64
31;Recording124;1;1;1AH;YES;00:21,4;1.4;4.021;0.56;0.56;0.56;0.56;0;00:32,3;2;6;;10.9;70.284
33;Recording133;1;1;1AH;YES;00:32,4;0.24;0.96;2.16;0;0;0;0;00:38,1;3;3;offset;5.7;58.947
33;Recording129;1;1;1AH;YES;00:46,7;2.8;0;0;0;0;0;0;00:51,3;1;1;offset;4.6;60.87
34;Recording138;1;1;1AH;YES;00:28,2;0.48;0.34;0.3;0.26;0;0;0;00:38,8;3;4;;10.6;13.019
34;Recording134;1;1;1AH;YES;00:59,1;0.16;0.8;2.5;0.22;0.5;0.46;0.38;01:11,5;3;7;;12.4;40.484
