Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording008;1;7;4AH;YES;02:49,3;1.96;0;0;0;0;0;0;02:51,7;1;1;;2.4;81.667
4;Recording012;1;7;4AH;YES;02:34,0;0.94;0.08;0;0;0;0;0;02:35,5;2;2;;1.5;68.0
5;Recording017;1;7;4AH;YES;02:16,0;1.3;0;0;0;0;0;0;02:17,9;1;1;;1.9;68.421
6;Recording032;1;7;4AH;YES;02:53,2;2.66;0;0;0;0;0;0;02:55,9;1;1;;2.7;98.519
7;Recording037;1;7;4AH;YES;02:33,8;1.86;0;0;0;0;0;0;02:36,8;1;1;;3.0;62.0
7;Recording034;1;7;4AH;YES;02:39,1;1.34;1.82;0;0;0;0;0;02:43,0;1;1;;3.9;81.026
8;Recording041;1;7;4AH;YES;02:20,2;1.9;0.06;0.12;0.24;0.46;0.06;0;02:23,8;1;6;;3.6;78.889
8;Recording038;1;7;4AH;YES;02:15,8;0.88;0.08;0;0;0;0;0;02:16,8;2;2;;1.0;96.0
9;Recording043;1;7;4AH;YES;02:08,5;2.62;0;0;0;0;0;0;02:11,2;1;1;;2.7;97.037
11;Recording049;1;7;4AH;YES;02:41,4;2.3;0.16;0;0;0;0;0;02:43,9;2;2;;2.5;98.4
12;Recording053;1;7;4AH;YES;02:10,1;2.3;0;0;0;0;0;0;02:12,5;1;1;;2.4;95.833
13;Recording058;1;7;4AH;YES;02:23,7;0.46;0.62;0;0;0;0;0;02:26,3;2;2;;2.6;41.538
13;Recording055;1;7;4AH;YES;02:26,0;2.88;0.92;0;0;0;0;0;02:31,0;2;2;;5.0;76.0
14;Recording063;1;7;4AH;YES;01:54,2;2.1;0;0;0;0;0;0;01:57,0;1;1;;2.8;75.0
14;Recording060;1;7;4AH;YES;01:48,7;2.4;0;0;0;0;0;0;01:53,2;1;1;;4.5;53.333
15;Recording067;1;7;4AH;YES;02:22,0;1.2;0;0;0;0;0;0;02:23,5;1;1;;1.5;80.0
16;Recording072;1;7;4AH;YES;02:17,0;1.9;0.54;0;0;0;0;0;02:20,7;2;2;;3.7;65.946
16;Recording069;1;7;4AH;YES;02:22,6;1.5;0;0;0;0;0;0;02:24,1;1;1;;1.5;100.0
17;Recording075;1;7;4AH;YES;02:06,5;0.72;1.54;0;0;0;0;0;02:09,9;2;2;;3.4;66.471
18;Recording079;1;7;4AH;YES;02:24,4;2.6;0.02;0;0;0;0;0;02:26,7;2;2;;2.3;100
20;Recording082;1;7;4AH;YES;02:02,4;0.5;0;0;0;0;0;0;02:04,7;1;1;;2.3;21.739
21;Recording088;1;7;4AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
21;Recording085;1;7;4AH;YES;02:06,9;1.76;2.04;0;0;0;0;0;02:11,7;2;2;;4.8;79.167
22;Recording092;1;7;4AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
22;Recording089;1;7;4AH;YES;02:30,2;3.901;0;0;0;0;0;0;02:33,7;1;1;;3.5;100
23;Recording094;1;7;4AH;YES;02:09,2;1.8;0;0;0;0;0;0;02:11,2;1;1;;2.0;90.0
24;Recording098;1;7;4AH;YES;02:24,0;2.54;0;0;0;0;0;0;02:27,4;1;1;;3.4;74.706
25;Recording103;1;7;4AH;YES;01:57,1;0.9;0;0;0;0;0;0;02:01,2;1;1;;4.1;21.951
27;Recording108;1;7;4AH;YES;02:11,0;1;0.28;0.3;0;0;0;0;02:13,5;3;3;;2.5;63.2
27;Recording105;1;7;4AH;YES;02:20,3;2.44;0.66;0;0;0;0;0;02:23,5;2;2;;3.2;96.875
28;Recording112;1;7;4AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
28;Recording109;1;7;4AH;YES;02:06,2;2.3;0;0;0;0;0;0;02:09,0;1;1;;2.8;82.143
29;Recording114;1;7;4AH;YES;02:17,5;0.98;1.54;0;0;0;0;0;02:21,1;2;2;;3.6;70.0
30;Recording118;1;7;4AH;YES;02:48,5;1.68;0;0;0;0;0;0;02:50,3;1;1;;1.8;93.333
31;Recording124;1;7;4AH;YES;02:35,3;4.041;0;0;0;0;0;0;02:41,6;1;1;;6.3;64.143
33;Recording133;1;7;4AH;YES;02:21,8;2.3;0;0;0;0;0;0;02:24,8;1;1;offset;3.0;76.667
33;Recording129;1;7;4AH;YES;02:38,9;3.5;0;0;0;0;0;0;02:42,4;1;1;offset;3.5;100.0
34;Recording138;1;7;4AH;YES;02:55,7;0.24;0;0;0;0;0;0;02:57,0;1;1;;1.3;18.462
34;Recording134;1;7;4AH;YES;03:34,5;0.46;0.2;2.48;0.88;0;0;0;03:40,8;4;4;;6.3;63.81
36;Recording144;1;7;4AH;YES;02:22,8;0.38;0;0;0;0;0;0;02:23,8;1;1;;1.0;38.0
38;Recordnig153;1;7;4AH;YES;02:38,7;3.381;0;0;0;0;0;0;02:43,0;1;1;;4.3;78.628
39;Recording157;1;7;4AH;YES;02:28,5;2.68;0;0;0;0;0;0;02:31,2;1;1;;2.7;99.259
40;Recording161;1;7;4AH;YES;02:52,3;5.4;0.64;0;0;0;0;0;02:58,8;2;2;offset;6.5;92.923
41;Recording168;1;7;4AH;YES;02:05,5;0.5;0;0;0;0;0;0;02:07,0;1;1;;1.5;33.333
41;Recording164;1;7;4AH;YES;02:03,1;0.7;0;0;0;0;0;0;02:04,5;1;1;;1.4;50.0
42;Recording172;1;7;4AH;YES;02:07,3;0.62;2.841;0.22;0;0;0;0;02:14,7;2;3;;7.4;49.743
42;Recording169;1;7;4AH;YES;02:01,8;0.84;2.2;0;0;0;0;0;02:06,3;2;2;;4.5;67.556
43;Recording175;1;7;4AH;YES;02:05,9;1.26;0;0;0;0;0;0;02:06,9;1;1;;1.0;100
44;Recording183;1;7;4AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
44;Recording179;1;7;4AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
45;Recording185;1;7;4AH;YES;02:15,8;2.4;0;0;0;0;0;0;02:18,4;1;1;;2.6;92.308
46;Recording190;1;7;4AH;YES;02:04,7;2.7;0.22;0;0;0;0;0;02:10,5;2;2;;5.8;50.345
47;Recording192;1;7;4AH;YES;02:34,8;1.58;0;0;0;0;0;0;02:36,5;1;1;;1.7;92.941
48;Recording197;1;7;4AH;YES;02:00,5;0.98;0;0;0;0;0;0;02:01,8;1;1;;1.3;75.385
49;Recording200;1;7;4AH;YES;02:29,2;2.1;0;0;0;0;0;0;02:31,3;1;1;;2.1;100.0
50;Recording206;1;7;4AH;YES;01:57,6;1.02;0;0;0;0;0;0;01:59,9;1;1;;2.3;44.348
50;Recording203;1;7;4AH;YES;02:17,9;3.241;0;0;0;0;0;0;02:21,8;1;1;;3.9;83.103
51;Recording208;1;7;4AH;YES;02:20,0;2;0;0;0;0;0;0;02:21,7;1;1;;1.7;100
52;Recording214;1;7;4AH;YES;02:26,7;0.28;1.06;0.42;0;0;0;0;02:30,4;3;3;;3.7;47.568
53;Recording219;1;7;4AH;YES;01:55,7;0.72;0.2;0.72;0;0;0;0;01:57,8;3;3;;2.1;78.095
53;Recording216;1;7;4AH;YES;02:21,2;0.42;0.34;0;0;0;0;0;02:24,3;2;2;;3.1;24.516
54;Recording222;1;7;4AH;YES;02:17,6;2.3;0;0;0;0;0;0;02:21,3;1;1;;3.7;62.162
55;Recording225;1;7;4AH;YES;01:58,9;0.96;0;0;0;0;0;0;02:00,5;1;1;;1.6;60.0
56;Recording231;2;7;4AH;YES;02:17,8;0.38;0.56;1.14;0.84;0.4;0;0;02:22,5;5;5;;4.7;70.638
57;Recording235;3;7;4AH;YES;02:11,2;1.8;2.92;0;0;0;0;0;02:17,3;2;2;;6.1;77.377
58;Recording239;1;7;4AH;YES;02:16,3;0.18;0;0;0;0;0;0;02:16,9;1;1;was looking at the truck but not at the guy, saw it at the last moment;0.6;30.0
59;Recording243;3;7;4AH;YES;01:43,6;3.857;0;0;0;0;0;0;01:48,7;1;1;;5.1;75.627
60;Recording247;1;7;4AH;YES;02:28,6;1.82;0.2;0;0;0;0;0;02:30,7;2;2;;2.1;96.19
61;Recording251;1;7;4AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
62;Recording257;1;7;4AH;YES;01:58,3;1.26;0.32;0;0;0;0;0;02:00,6;2;2;;2.3;68.696
62;Recording254;1;7;4AH;YES;02:00,7;1.1;0;0;0;0;0;0;02:01,9;1;1;;1.2;91.667
