Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording008;1;2;3CH;YES;00:59,2;0.64;0.42;1.32;0;0;0;0;01:08,5;3;3;;9.3;25.591
4;Recording012;1;2;3CH;YES;00:52,7;0.54;1.44;0.88;0;0;0;0;00:59,8;3;3;;7.1;40.282
5;Recording017;1;2;3CH;YES;00:46,8;0.3;0.3;0.24;0.5;1.12;0;0;00:56,0;5;5;;9.2;26.739
6;Recording032;1;2;3CH;YES;01:07,7;1.44;0.06;0;0;0;0;0;01:09,2;2;2;;1.5;100.0
7;Recording037;1;2;3CH;YES;00:54,6;1.36;0.24;0.2;0.1;1.92;0;0;01:03,4;5;5;;8.8;43.409
7;Recording034;1;2;3CH;YES;00:55,6;2.04;1.2;2.38;0.18;0.06;0;0;01:06,3;5;5;;10.7;54.766
8;Recording041;1;2;3CH;YES;00:44,7;0.88;0.62;3.121;0.08;0.74;0;0;00:54,2;5;5;;9.5;57.274
8;Recording038;1;2;3CH;YES;00:45,6;0.24;0.24;1.88;0.1;0.14;0.14;0.84;00:50,2;7;7;;4.6;77.826
9;Recording043;1;2;3CH;YES;00:52,0;0.46;1.1;0.08;0.78;0;0;0;00:54,9;4;4;;2.9;83.448
11;Recording049;1;2;3CH;YES;01:02,9;1.78;0.7;0.46;0.9;0.28;0;0;01:10,2;5;5;;7.3;56.438
12;Recording053;1;2;3CH;YES;00:44,6;1.02;0.26;0.58;0.26;0;0;0;01:51,2;4;4;;66.6;3.183
13;Recording058;1;2;3CH;YES;00:48,3;0.84;0.58;0.22;0.32;1.42;0;0;00:57,7;5;5;;9.4;35.957
13;Recording055;1;2;3CH;YES;00:44,3;0.78;0.76;0.76;0.26;0.36;0.68;0;00:52,6;6;6;;8.3;43.373
14;Recording063;1;2;3CH;YES;00:40,4;0.64;1.24;1.06;0;0;0;0;00:46,0;3;3;;5.6;52.5
14;Recording060;1;2;3CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
15;Recording067;1;2;3CH;YES;00:52,4;0.42;1.88;2.06;0;0;0;0;00:59,2;3;3;;6.8;64.118
16;Recording072;1;2;3CH;YES;00:41,3;0.32;0.68;1.42;0.32;0;0;0;00:48,9;4;4;;7.6;36.053
16;Recording069;1;2;3CH;YES;00:49,2;3.155;0;0;0;0;0;0;00:53,7;1;1;;4.5;70.111
17;Recording075;1;2;3CH;YES;00:48,0;0.48;0.26;0.7;0;0;0;0;00:52,8;3;3;;4.8;30.0
18;Recording079;1;2;3CH;YES;00:49,4;1.16;0.7;0.36;2.72;0.44;0;0;00:58,0;3;4;;8.6;62.558
20;Recording082;1;2;3CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
21;Recording088;1;2;3CH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
21;Recording085;1;2;3CH;YES;00:52,7;0.8;0;0;0;0;0;0;00:54,1;1;1;;1.4;57.143
22;Recording092;1;2;3CH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
22;Recording089;1;2;3CH;YES;00:56,3;0.88;3.781;0;0;0;0;0;01:03,7;2;2;;7.4;62.986
23;Recording094;1;2;3CH;YES;00:45,7;0.82;2.62;0;0;0;0;0;00:51,4;2;2;;5.7;60.351
24;Recording098;1;2;3CH;YES;00:57,2;0.7;0.58;1.06;0.86;1;0;0;01:07,1;5;5;;9.9;42.424
25;Recording103;1;2;3CH;YES;00:38,6;1.24;0.22;1;0.22;1.32;0.1;0;00:47,1;6;6;;8.5;48.235
27;Recording108;1;2;3CH;YES;00:52,3;1.26;0;0;0;0;0;0;00:53,6;0;0;;1.3;96.923
27;Recording105;1;2;3CH;YES;01:01,8;1.2;0;0;0;0;0;0;01:03,3;1;1;;1.5;80.0
28;Recording112;1;2;3CH;YES;00:47,1;0.48;0.52;0;0;0;0;0;00:53,1;2;2;;6.0;16.667
28;Recording109;1;2;3CH;YES;00:43,9;0.42;1.9;0;0;0;0;0;00:49,1;2;2;;5.2;44.615
29;Recording114;1;2;3CH;YES;00:52,2;1.16;0.88;0;0;0;0;0;01:00,1;2;2;;7.9;25.823
30;Recording118;1;2;3CH;YES;01:01,5;0.56;0.26;1.98;0;0;0;0;01:07,9;3;3;;6.4;43.75
31;Recording124;1;2;3CH;YES;00:53,1;1.02;3.01;0.46;0;0;0;0;01:00,1;3;3;;7.0;64.143
33;Recording133;1;2;3CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;offset;0.0;0
33;Recording129;1;2;3CH;YES;01:14,5;2.841;0.18;0;0;0;0;0;01:17,7;2;2;offset;3.2;94.406
34;Recording138;1;2;3CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
34;Recording134;1;2;3CH;YES;01:44,4;2.74;0;0;0;0;0;0;01:48,5;1;1;Video buffered a bit (maybe fixations missed).;4.1;66.829
36;Recording144;1;2;3CH;YES;00:50,2;0.82;2.4;0;0;0;0;0;00:57,2;2;2;;7.0;46.0
38;Recordnig153;1;2;3CH;YES;00:57,0;0.84;3.041;0.4;0.44;0.22;0;0;01:07,6;5;5;3,4 and 5 together;10.6;46.613
39;Recording157;1;2;3CH;YES;00:52,1;0.74;3.281;0;0;0;0;0;00:59,2;2;2;;7.1;56.634
40;Recording161;1;2;3CH;YES;01:02,9;0.62;0.18;0.6;2.12;1.6;0.26;0;01:11,6;6;6;offset;8.7;61.839
41;Recording168;1;2;3CH;YES;00:44,1;0.7;0;0;0;0;0;0;00:45,6;1;1;;1.5;46.667
41;Recording164;1;2;3CH;YES;00:45,6;1.12;0.06;0.02;0;0;0;0;00:47,1;3;3;;1.5;80.0
42;Recording172;1;2;3CH;YES;00:39,9;1.86;3.561;0.4;0.58;0;0;0;00:47,6;2;4;;7.7;83.13
42;Recording169;1;2;3CH;YES;00:43,5;1.32;1.64;0;0;0;0;0;00:48,7;2;2;;5.2;56.923
43;Recording175;1;2;3CH;YES;00:42,4;1.9;0.2;0.44;0.2;0.26;1.04;0;00:49,2;6;6;;6.8;59.412
44;Recording183;1;2;3CH;YES;01:02,5;0.14;0;0;0;0;0;0;01:05,2;1;1;didn't do a fixation on it, but saw it since he was not surprised;2.7;5.185
44;Recording179;1;2;3CH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
45;Recording185;1;2;3CH;YES;00:53,5;1.49;2.06;0;0;0;0;0;00:58,9;2;2;;5.4;65.741
46;Recording190;1;2;3CH;YES;00:41,4;0.3;3.361;0.2;0.22;0;0;0;00:46,9;4;4;;5.5;74.2
47;Recording192;1;2;3CH;YES;01:02,0;2.48;0;0;0;0;0;0;01:04,9;1;1;offset ;2.9;85.517
48;Recording197;1;2;3CH;YES;00:40,8;0.18;1.24;0;0;0;0;0;00:44,3;2;2;;3.5;40.571
49;Recording200;1;2;3CH;YES;00:42,3;0.9;0.58;1.12;0;0;0;0;00:47,6;3;3;;5.3;49.057
50;Recording206;1;2;3CH;YES;00:34,2;0.4;0.24;0.2;0.68;0;0;0;00:40,6;4;4;;6.4;23.75
50;Recording203;1;2;3CH;YES;00:41,6;1.02;0.7;1.3;0;0;0;0;00:47,6;3;3;;6.0;50.333
51;Recording208;1;2;3CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;offset + looking close to cars = unsure result (looks like he didn't see it);0.0;0
52;Recording214;1;2;3CH;YES;01:02,2;2.48;0;0;0;0;0;0;01:04,7;1;1;;2.5;99.2
53;Recording219;1;2;3CH;YES;00:43,0;0.58;0;0;0;0;0;0;00:44,0;1;1;saw at last minute;1.0;58.0
53;Recording216;1;2;3CH;YES;00:54,8;0.62;0.24;0.2;2.02;0;0;0;01:00,5;4;4;;5.7;54.035
54;Recording222;1;2;3CH;YES;00:45,3;0.34;0.56;0;0;0;0;0;00:51,1;2;2;;5.8;15.517
55;Recording225;1;2;3CH;YES;00:35,9;1.46;1.72;2.2;0;0;0;0;00:43,5;3;3;;7.6;70.789
58;Recording239;1;2;3CH;YES;00:39,8;4.541;0.6;0.66;0;0;0;0;00:46,5;3;3;;6.7;86.582
60;Recording247;1;2;3CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
61;Recording251;1;2;3CH;YES;00:40,1;0.44;1.62;0.28;0;0;0;0;00:44,8;3;3;;4.7;49.787
62;Recording257;1;2;3CH;YES;00:35,8;0.28;0.18;0.44;0.26;0.32;0.66;0.06;00:43,4;7;7;1 and 2 togheter;7.6;28.947
62;Recording254;1;2;3CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
63;Recording259;1;2;3CH;YES;00:37,9;0.58;0.44;0.32;0;0;0;0;00:42,5;3;3;;4.6;29.13
64;Recording265;1;2;3CH;YES;00:57,8;0.64;0.84;0;0;0;0;0;01:03,0;2;2;;5.2;28.462
65;Recording270;1;2;3CH;YES;00:40,7;0.32;1.78;0;0;0;0;0;00:47,3;2;2;;6.6;31.818
65;Recording267;1;2;3CH;YES;00:47,9;0.14;2.06;0;0;0;0;0;00:53,2;2;2;;5.3;41.509
66;Recording273;1;2;3CH;YES;00:47,4;0.42;0.62;0.68;1.38;0;0;0;00:54,9;4;4;;7.5;41.333
67;Recording276;1;2;3CH;YES;00:44,8;1.42;3.421;0.12;0;0;0;0;00:52,7;2;3;;7.9;62.797
68;Recording283;1;2;3CH;YES;00:55,6;0.48;0.28;0.56;1.16;0.14;0.6;0.28;01:02,5;6;8;4 and 5 together;6.9;50.725
68;Recording280;1;2;3CH;YES;00:55,3;0.32;0.32;0.3;4.2;0.8;0.22;0;01:06,0;4;6;;10.7;57.57
69;Recording285;1;2;3CH;YES;00:48,5;0.3;0.74;0.04;0;0;0;0;00:51,9;3;3;;3.4;31.765
70;Recording290;1;2;3CH;YES;00:41,9;0.44;1.24;0.4;0.72;0.86;0;0;00:48,1;5;5;;6.2;59.032
71;Recording295;1;2;3CH;YES;00:39,9;0.14;0.48;0.96;0.88;0;0;0;00:47,2;4;4;3 and 4 together;7.3;33.699
71;Recording292;1;2;3CH;YES;01:02,8;0.14;0.16;0.16;0.96;0;0;0;01:09,2;4;4;;6.4;22.188
